premiered,sum_rating,ammount_movies
1900,4.433333333333334,3
1906,4.2,1
1907,7.0,1
1909,3.966666666666667,3
1910,4.449999999999999,2
1911,4.4,1
1912,5.8,1
1913,5.014285714285714,7
1914,6.0857142857142845,14
1915,5.904347826086956,23
1916,5.838709677419353,31
1917,6.171428571428572,35
1918,6.1130434782608685,46
1919,5.902272727272727,44
1920,6.364999999999999,40
1921,6.326190476190478,42
1922,6.06,30
1923,6.304761904761906,42
1924,6.376470588235294,51
1925,6.250632911392405,79
1926,6.517757009345793,107
1927,6.1956989247311824,93
1928,6.482142857142857,84
1929,6.115463917525774,97
1930,5.9972972972972975,185
1931,6.2612903225806456,186
1932,6.302380952380952,210
1933,6.260082304526748,243
1934,6.2129251700680275,294
1935,6.317757009345794,321
1936,6.273823529411764,340
1937,6.254419889502763,362
1938,6.271511627906978,344
1939,6.3718120805369125,298
1940,6.350598802395208,334
1941,6.282926829268293,369
1942,6.305846153846154,325
1943,6.244336569579288,309
1944,6.3173387096774185,248
1945,6.172058823529413,204
1946,6.39433962264151,212
1947,6.4405797101449265,207
1948,6.329857819905213,211
1949,6.346594982078851,279
1950,6.121212121212124,264
1951,6.232993197278912,294
1952,6.192682926829271,328
1953,6.164831804281344,327
1954,6.148844884488448,303
1955,6.203395061728393,324
1956,6.029552238805971,335
1957,6.086819484240689,349
1958,6.180428954423594,373
1959,6.042857142857144,378
1960,6.076902887139105,381
1961,6.013367609254498,389
1962,6.072992700729925,411
1963,6.115513126491647,419
1964,6.069414316702818,461
1965,6.0563414634146335,410
1966,6.053191489361701,423
1967,5.9793859649122805,456
1968,5.9496703296703295,455
1969,5.825744680851067,470
1970,5.742322097378277,534
1971,5.6066666666666665,525
1972,5.672324723247228,542
1973,5.609393346379646,511
1974,5.68139534883721,516
1975,5.682481751824818,548
1976,5.755153707052439,553
1977,5.893612334801765,454
1978,5.8382165605095535,471
1979,5.8022429906542055,535
1980,5.79144486692015,526
1981,5.817105263157897,532
1982,5.769131238447322,541
1983,5.778205128205131,546
1984,5.890394511149228,583
1985,6.023723228995058,607
1986,5.799489795918369,588
1987,5.813989637305701,579
1988,5.867343485617598,591
1989,5.92943143812709,598
1990,5.886006825938567,586
1991,5.9231155778894475,597
1992,5.82768729641694,614
1993,5.922303473491771,547
1994,5.849117174959871,623
1995,5.836528028933092,553
1996,5.891502276176025,659
1997,5.868256130790188,734
1998,5.861396574440052,759
1999,5.8266355140186885,856
2000,5.835047846889955,836
2001,5.926245847176082,903
2002,5.88671706263499,926
2003,5.876248821866164,1061
2004,5.840835707502373,1053
2005,5.881329923273656,1173
2006,5.794661354581671,1255
2007,5.841787439613525,1242
2008,5.716364952932659,1381
2009,5.864479495268138,1585
2010,5.929236499068906,1611
2011,5.899660441426147,1767
2012,5.949481723949809,1833
2013,5.988433228180863,1902
2014,5.939920159680638,2004
2015,5.885132382892054,1964
2016,5.918511263467187,2042
2017,5.980369989722506,1946
2018,5.899524312896408,1892
2019,6.256770833333331,1152
