,primary_title,genres,rating
0,The Girl of the Golden West,"Romance,Western",5.5
1,Un Chien Andalou,"Fantasy,Horror,Short",7.7
2,The Gunfight at Dodge City,Western,6.1
3,Home from the Hill,"Drama,Romance",7.4
4,Mother Joan of the Angels,"Drama,Horror,Mystery",7.7
5,The Hourglass Sanatorium,"Drama,Fantasy,Horror",7.7
6,Tom Sawyer,"Adventure,Family,Musical",6.4
7,There Goes My Baby,"Comedy,Drama",6.5
8,The Critic,"Animation,Comedy,Drama",7.9
9,The Lion King,"Adventure,Animation,Drama",8.5
10,Canone inverso - Making Love,Drama,7.2
11,Imagine Me & You,"Comedy,Drama,Romance",6.8
12,Imagine Me & You,"Comedy,Drama,Romance",6.8
13,Boardwalk Empire,"Crime,Drama,History",8.6
14,Grandpa in My Pocket,"Family,Fantasy",5.0
15,A Wrinkle in Time,"Adventure,Family,Fantasy",4.2
16,The Rover,"Crime,Drama",6.4
17,Star Wars: Episode VII - The Force Awakens,"Action,Adventure,Sci-Fi",7.9
18,The Haunted Hathaways,"Comedy,Family,Fantasy",5.1
19,Mark of Youth,Drama,3.9
20,Sons of Liberty,"Drama,History",7.5
21,Two Friends,"Comedy,Drama,Romance",6.0
22,Christopher Robin,"Adventure,Comedy,Drama",7.3
23,The Sense of an Ending,"Drama,Mystery",6.3
24,Mission: Impossible - Fallout,"Action,Adventure,Thriller",7.8
25,Cinderella and the Secret Prince,"Adventure,Animation,Family",4.4
26,The Ballad of Buster Scruggs,"Comedy,Drama,Musical",7.3
27,You,"Crime,Drama,Romance",7.7
