,primary_title,average_age,rating
0,Girls Loving Girls,27.0,10.0
1,The Maltese Phallus,32.0,10.0
2,Busty Biker Babes,23.59999999999991,9.8
3,Nimishingal,26.0,9.8
4,Internment,30.0,9.8
5,Pas vdekjes,38.40000000000009,9.8
6,Paniwalaan mo,38.799999999999955,9.8
7,We Shall Not Die Now,61.16666666666674,9.8
8,Square One,62.66666666666674,9.8
9,"Pieces of Lives, Pieces of Dreams",71.0,9.8
10,Time and motion,25.0,9.7
11,Occupy Cannes!,38.16666666666674,9.7
12,Never-Ending Road,45.16666666666674,9.7
13,100 Years of Chrysostom,64.33333333333326,9.7
14,The Forbidden Fashion,73.33333333333326,9.7
